Country, Area(km2), Storks (pairs), Humans (10^6), Birth rate (10^3/yr)
Albania, 28750, 100, 3.2, 83
Austria, 83860, 300, 7.6, 87
Belgium, 30520, 1, 9.9, 118
Bulgaria, 111000, 5000, 9.0, 117
Denmark, 43100, 9, 5.1, 59
France, 544000, 140, 56, 774
Germany, 357000, 3300, 78, 901
Greece, 132000, 2500, 10, 106
Holland, 41900, 4, 15, 188
Hungary, 93000, 5000, 11, 124
Italy, 301280, 5, 57, 551
Poland, 312680, 30000, 38, 610
Portugal, 92390, 1500, 10, 120
Romania, 237500, 5000, 23, 367
Spain, 504750, 8000, 39, 439
Switzerland, 41290, 150, 6.7, 82
Turkey, 779450, 25000, 56, 1576
